"Y","M","X"
"no","yes","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","yes","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","yes","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"yes","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","yes","white"
"yes","no","white"
"no","no","white"
"yes","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"yes","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","yes","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","white"
"yes","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"yes","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"yes","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"yes","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","yes","nonwhite"
"no","no","white"
"no","no","white"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","yes","white"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"yes","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"yes","no","nonwhite"
"yes","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","nonwhite"
"no","yes","nonwhite"
"no","no","nonwhite"
"no","no","white"
"no","no","nonwhite"
