"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
1,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
2,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
3,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
4,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
5,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
6,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
7,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
8,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
9,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
10,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
11,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
12,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
13,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
14,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
15,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
16,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
17,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
18,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
19,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
20,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
21,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
22,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
23,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
24,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
25,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
26,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
27,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
28,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
29,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
30,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
31,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
32,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
33,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
34,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
35,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
36,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
37,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
38,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
39,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
40,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
41,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
42,1,0,-0.1328,0.01727,0.01764,0.03497,0.00006
43,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
44,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
45,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
46,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
47,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
48,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
49,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
50,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
51,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
52,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
53,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
54,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
55,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
56,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
57,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
58,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
59,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
60,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
61,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
62,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
63,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
64,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
65,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
66,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
67,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
68,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
69,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
70,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
71,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
72,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
73,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
74,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
75,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
76,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
77,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
78,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
79,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
80,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
81,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
82,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
83,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
84,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
85,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
86,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
87,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
88,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
89,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
90,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
91,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
92,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
93,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
94,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
95,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
96,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
97,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
98,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
99,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
100,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
