"x","sPr","P","dChisq","dDev","dBhat"
1,0.7626,0.64036,0.58156,0.9231,0.02064
2,0.78404,0.62748,0.61473,0.96513,0.02179
3,0.74333,0.65303,0.55254,0.8863,0.02207
4,0.79565,0.62097,0.63306,0.98835,0.02352
5,0.79565,0.62097,0.63306,0.98835,0.02352
6,0.73445,0.65929,0.53941,0.86967,0.02363
7,0.80789,0.61442,0.65269,1.01317,0.02614
8,0.80789,0.61442,0.65269,1.01317,0.02614
9,0.8208,0.60783,0.67371,1.03973,0.02977
10,0.71054,0.67773,0.50486,0.82604,0.03117
11,0.71054,0.67773,0.50486,0.82604,0.03117
12,0.83442,0.60119,0.69626,1.06815,0.03453
13,0.70342,0.68376,0.4948,0.81339,0.03456
14,0.6967,0.68973,0.48539,0.80161,0.03836
15,0.6967,0.68973,0.48539,0.80161,0.03836
16,0.6967,0.68973,0.48539,0.80161,0.03836
17,0.6967,0.68973,0.48539,0.80161,0.03836
18,0.84879,0.59452,0.72044,1.09858,0.04059
19,-0.82735,0.39052,0.6845,1.05793,0.04676
20,-0.9471,0.45766,0.89701,1.30079,0.05648
21,-0.75168,0.33746,0.56503,0.91336,0.06176
22,-1.35783,0.64036,1.84371,2.11786,0.06542
23,-1.28737,0.61442,1.65733,1.98236,0.06639
24,-1.37792,0.64672,1.89867,2.15834,0.07058
25,-1.39904,0.65303,1.95731,2.20162,0.07819
26,-1.02263,0.49198,1.04578,1.46265,0.08351
27,-1.02263,0.49198,1.04578,1.46265,0.08351
28,-1.02263,0.49198,1.04578,1.46265,0.08351
29,-1.02263,0.49198,1.04578,1.46265,0.08351
30,-1.02263,0.49198,1.04578,1.46265,0.08351
31,-1.02263,0.49198,1.04578,1.46265,0.08351
32,1.07688,0.48052,1.15967,1.57232,0.08429
33,-1.24452,0.59452,1.54883,1.90709,0.08725
34,-1.24452,0.59452,1.54883,1.90709,0.08725
35,1.05596,0.49198,1.11505,1.53191,0.08905
36,1.05596,0.49198,1.11505,1.53191,0.08905
37,1.05596,0.49198,1.11505,1.53191,0.08905
38,1.05596,0.49198,1.11505,1.53191,0.08905
39,1.25939,0.4015,1.58607,1.9419,0.10148
40,-1.4688,0.67164,2.15736,2.34915,0.118
41,-1.49428,0.67773,2.23286,2.40458,0.13786
42,-1.20038,0.56751,1.4409,1.84082,0.14131
43,-0.59017,0.1964,0.3483,0.62321,0.14807
44,1.35982,0.3689,1.84911,2.15576,0.14956
45,-0.42354,0.08892,0.17938,0.34232,0.15031
46,1.39667,0.35828,1.95068,2.23578,0.17381
47,-1.54877,0.68973,2.39868,2.52559,0.18955
48,-1.17137,0.5401,1.37211,1.81505,0.23103
49,1.42458,0.45706,2.02943,2.67517,1.43764
