state,ST,Interviewer,Standards,Interviewed,InterviewDate,Q0,Q0a,Q1,Q2b,Q4di,Q4d,Q3,Q4b,Q4c,Q5,Q6,Q7,Q8,Q9,Q9c,Q9d,Q3b,Q3c,Q4a,Q9a,StatePopEst,IPVTotPERC,IPVTotN,FemIPVVPERC,FemIPVVN,MaleIPVVPERC,MaleIPVVN,PoliticalID,PoliticalIDFactor,WELLBEING,YESLGBTperc,YESLGBTn,NOLGBTperc,NOLGBTn,NinterviewedLGBT,GEOverall,GEWorkplace,GEEducationHealth,GEPoliticalEmpowerment,N
Alabama,AL,Eric,2,2,42359,2,1,2006,2006,2005,2,7,2,2,2,2,2,1,2,1,1,1,1,1,2,4849377,57.9,1041000,31,582000,26.9,459000,1,"MOSTLY	CONSERVATIVE",60.3,0.028,100.884,0.925,3332.775,3603,26,31,4,38,1
Alaska,AK,Rachel,2,2,42184,2,1,1998,1998,1998,2,0,2,2,2,2,2,2,2,2,2,1,9,5,2,736732,69.2,176000,44.2,109000,25,67000,3,AVERAGE,64.7,0.034,20.842,0.938,574.994,613,18,13,28,7,2
Arizona,AZ,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6731484,63.6,1548000,36.5,891000,27.1,657000,3,AVERAGE,62.2,0.039,186.927,0.928,4447.904,4793,16,7,48,9,3
Arkansas,AR,Eric,0,0,42027,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966369,72.9,795000,37.3,420000,35.6,375000,1,"MOSTLY	CONSERVATIVE",60,0.035,86.275,0.931,2294.915,2465,44,42,17,46,4
California,CA,Rachel,2,2,41900,2,1,1986,1986,1986,2,0,2,2,2,1,1,2,1,1,1,1,2,2,1,38802500,60.2,8300000,32.9,4563000,27.3,3737000,4,"MORE	LIBERAL",62.8,0.04,745.44,0.919,17126.484,18636,12,10,42,5,5
Colorado,CO,Rachel,2,2,41876,2,2,2000,1986,1999,2,19,1,2,2,2,2,1,2,2,2,5,8,4,2,5355866,61.3,1163000,32.7,618000,28.6,545000,3,AVERAGE,63.2,0.032,140.8,0.932,4100.8,4400,28,20,46,16,6
Connecticut,CT,Rachel,2,2,42111,2,2,2004,2004,2004,2,2,2,2,1,1,2,2,2,2,2,5,9,5,3,3596677,66.8,904000,32.9,462000,33.9,442000,4,"MORE	LIBERAL",61.9,0.034,78.404,0.935,2156.11,2306,25,21,36,9,7
Delaware,DE,Rachel,2,2,42221,2,2,2000,1999,1999,2,11,1,2,2,1,2,2,2,1,2,6,5,5,2,935614,71.7,243000,34.9,124000,36.8,119000,4,"MORE	LIBERAL",61.1,0.034,22.712,0.929,620.572,668,6,4,28,26,8
District of Columbia,DC,Kate,2,2,42436,2,2,1991,1997,1994,2,11,2,2,2,2,2,2,2,2,2,2,6,6,5,658893,60,295000,35.6,240000,24.4,55000,3,AVERAGE,NA,0.1,49.3,0.88,433.84,493,NA,NA,NA,NA,9
Florida,FL,Kate,2,2,42118,2,1,1996,1995,1996,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,19893297,58.8,4277000,34.2,2546000,24.6,1731000,3,AVERAGE,61.9,0.035,395.01,0.099,1117.314,11286,9,2,40,23,10
Georgia,GA,Kate,2,2,42139,2,1,2002,2002,2002,2,0,2,2,2,2,2,2,1,1,1,1,6,4,1,10097343,75,2711000,35.1,1310000,39.9,1401000,2,"MORE	CONSERVATIVE",61.6,0.035,216.195,0.921,5689.017,6177,38,45,9,40,11
Hawaii,HI,Rachel,2,2,42136,2,2,1995,1995,1989,2,1,1,2,2,2,2,2,2,2,2,1,1,6,2,1419561,57.5,289000,35.7,179000,21.8,110000,5,"MOSTLY	LIBERAL",64.5,0.051,32.793,0.917,589.631,643,1,3,6,2,12
Idaho,ID,Rachel,2,2,42052,2,2,2008,1999,1999,2,6,2,2,1,2,2,2,2,1,2,6,6,3,2,1634464,62.6,353000,29.3,166000,33.3,187000,1,"MOSTLY	CONSERVATIVE",61.9,0.027,42.714,0.944,1493.408,1582,48,49,49,28,13
Illinois,IL,Rachel,2,2,42048,2,2,1997,1996,1997,2,15,2,2,2,2,2,2,2,2,2,7,2,3,2,12880580,63.4,3097000,37.7,1882000,25.7,1215000,4,"MORE	LIBERAL",61.1,0.038,267.444,0.92,6474.96,7038,14,16,21,13,14
Indiana,IN,Kate,2,2,42072,2,2,2001,2001,2010,2,15,2,2,2,2,2,1,2,1,2,5,2,6,2,6596855,67.2,1632000,40.4,1001000,26.8,631000,3,AVERAGE,60,0.037,183.039,0.919,4546.293,4947,46,48,24,30,15
Iowa,IA,Eric,2,2,42152,2,1,2000,1991,1990,2,0,1,1,2,1,1,2,2,2,2,6,6,2,2,3107126,50.9,587000,31.3,368000,19.6,219000,3,AVERAGE,62.2,0.028,75.376,0.934,2514.328,2692,32,39,13,38,16
Kansas,KS,Kate,2,2,42305,2,2,2008,2011,2012,2,12,2,2,2,1,2,2,2,1,2,5,8,4,2,2904021,52,551000,29,312000,23,239000,3,AVERAGE,61.2,0.037,80.438,0.936,2034.864,2174,32,33,36,22,17
